metric,severity_control,responder_count,n_pairs,mean_greedy_minus_global,bootstrap_ci_low,bootstrap_ci_high,permutation_p_value,holm_adjusted_p_value,effect_size_dz,global_win_rate_pct,tie_rate_pct
p90_response_s,0.15,16,100,79.53923612397172,44.43280264724847,119.84709714592495,0.0001999600079984003,0.01279744051189762,0.4232215093986769,61.0,18.0
p90_response_s,0.15,20,100,57.324989640633895,29.8214226845828,89.44144129454537,0.0001999600079984003,0.01279744051189762,0.38064870640331844,56.00000000000001,21.0
p90_response_s,0.15,24,100,37.29832366155937,16.714480744690515,61.853911780267886,0.0001999600079984003,0.01279744051189762,0.3252645824567991,43.0,32.0
p90_response_s,0.15,32,100,26.002545552464394,12.889204572988694,40.312310535242794,0.0001999600079984003,0.01279744051189762,0.3655494560215373,42.0,38.0
p90_response_s,0.16,8,100,477.5138906823991,374.33329857283815,585.7411227994353,0.0001999600079984003,0.01279744051189762,0.8769439732181656,90.0,1.0
p90_response_s,0.16,10,100,318.1536571114937,235.0749258647143,409.7748367168051,0.0001999600079984003,0.01279744051189762,0.715351885964545,78.0,5.0
p90_response_s,0.16,12,100,138.19416677243854,93.8352687656721,185.6493484186202,0.0001999600079984003,0.01279744051189762,0.5665514528771031,67.0,12.0
p90_response_s,0.16,14,100,87.33634197756446,48.31008706717385,129.21433330233106,0.0001999600079984003,0.01279744051189762,0.43075095274471026,61.0,15.0
p90_response_s,0.16,16,100,50.02980786378446,14.992051682468693,84.29964704091783,0.0033993201359728054,0.027194561087782444,0.2939031593492158,54.0,21.0
p90_response_s,0.16,20,100,38.501204424301406,18.095566403433306,62.883568553123624,0.0001999600079984003,0.01279744051189762,0.3305650572767996,45.0,28.999999999999996
p90_response_s,0.16,24,100,25.39300893950691,9.918652408853013,43.44583739931572,0.0027994401119776045,0.025994801039792043,0.3017753636362372,38.0,35.0
p90_response_s,0.16,32,100,22.38042719869452,10.839747270432634,35.094934722323586,0.0009998000399920016,0.013997200559888023,0.35278232603970916,39.0,41.0
p90_response_s,0.18,8,100,404.70364861454925,314.97776991765306,499.07702729641824,0.0001999600079984003,0.01279744051189762,0.8701351424527098,87.0,5.0
p90_response_s,0.18,10,100,219.18524873626728,141.73985742999182,295.7039306291191,0.0001999600079984003,0.01279744051189762,0.5744727875872725,75.0,10.0
p90_response_s,0.18,12,100,132.07833823290937,88.00887904935968,179.02072013301913,0.0001999600079984003,0.01279744051189762,0.5656608183531057,70.0,13.0
p90_response_s,0.18,14,100,93.36556062536353,56.45256969777146,132.19100018312642,0.0001999600079984003,0.01279744051189762,0.47772142489347025,57.99999999999999,17.0
