severity_control,responder_count,realization,seed,algorithm,failed_directed_edges,incident_count,incidents,assigned,unreachable,reachability_pct,mean_response_s,median_response_s,p90_response_s,total_response_s,weighted_unmet_demand
0.2,8,0,6060,greedy,2218,10,10,6,4,60.0,495.3728940713125,336.4128562184696,1034.0768323581547,2972.237364427875,12
0.2,8,0,6060,global_min_cost,2218,10,10,6,4,60.0,371.8554379946605,335.78763127778905,664.1496890688793,2231.1326279679633,11
0.2,10,0,6060,greedy,2218,10,10,6,4,60.0,393.2626574521924,291.9874418532933,772.1715368659707,2359.575944713155,12
0.2,10,0,6060,global_min_cost,2218,10,10,7,3,70.0,478.1750794152655,505.7263664362582,855.158102439679,3347.2255559068585,8
0.2,12,0,6060,greedy,2218,10,10,6,4,60.0,379.1212966275051,291.9874418532933,729.7474543919087,2274.7277797650304,12
0.2,12,0,6060,global_min_cost,2218,10,10,7,3,70.0,413.3858904347333,364.3841571385277,732.6495193990031,2893.7012330431335,8
0.2,14,0,6060,greedy,2218,10,10,6,4,60.0,304.6129907129773,291.9874418532933,506.2225366483252,1827.6779442778636,12
0.2,14,0,6060,global_min_cost,2218,10,10,7,3,70.0,349.52162822228087,307.1911054170504,632.1258684617794,2446.651397555966,8
0.2,16,0,6060,greedy,2218,10,10,6,4,60.0,262.18113318266614,291.9874418532933,378.92696405739184,1573.0867990959969,12
0.2,16,0,6060,global_min_cost,2218,10,10,7,3,70.0,313.1514646248713,307.1911054170504,580.6215652384249,2192.060252374099,8
0.2,20,0,6060,greedy,2218,10,10,7,3,70.0,313.9800587502447,308.44155529841146,502.43636575516723,2197.8604112517132,8
0.2,20,0,6060,global_min_cost,2218,10,10,7,3,70.0,303.5885644242146,307.1911054170504,553.845444676586,2125.119950969502,8
0.2,24,0,6060,greedy,2218,10,10,7,3,70.0,227.14490837043778,202.07550101854116,370.53671657124335,1590.0143585930646,8
0.2,24,0,6060,global_min_cost,2218,10,10,7,3,70.0,227.14490837043778,251.0001891903391,370.0023906002672,1590.0143585930643,8
