severity_control,algorithm,responders_from,responders_to,responders_added,reachability_gain_pct_points,reachability_gain_per_added_responder,unmet_demand_reduction,collapse_probability_reduction_pct_points
0.13,global_min_cost,14,16,2,0.20000000000000284,0.10000000000000142,0.020000000000000018,0.0
0.13,global_min_cost,16,20,4,0.20000000000000284,0.05000000000000071,0.040000000000000036,0.0
0.13,global_min_cost,20,24,4,0.20000000000000284,0.05000000000000071,0.09999999999999964,0.0
0.13,global_min_cost,24,32,8,0.0,0.0,0.0,0.0
0.13,greedy,8,10,2,14.200000000000003,7.100000000000001,4.5,0.0
0.13,greedy,10,12,2,5.799999999999997,2.8999999999999986,1.7399999999999998,0.0
0.13,greedy,12,14,2,1.7999999999999972,0.8999999999999986,0.6000000000000001,0.0
0.13,greedy,14,16,2,0.20000000000000284,0.10000000000000142,0.10000000000000009,0.0
0.13,greedy,16,20,4,0.0,0.0,0.0,0.0
0.13,greedy,20,24,4,0.0,0.0,0.0,0.0
0.13,greedy,24,32,8,0.4000000000000057,0.05000000000000071,0.13999999999999968,0.0
0.14,global_min_cost,8,10,2,12.0,6.0,3.2,0.0
0.14,global_min_cost,10,12,2,5.799999999999997,2.8999999999999986,1.56,0.0
0.14,global_min_cost,12,14,2,1.3999999999999915,0.6999999999999957,0.43999999999999995,0.0
0.14,global_min_cost,14,16,2,0.20000000000000284,0.10000000000000142,0.08000000000000007,0.0
0.14,global_min_cost,16,20,4,0.20000000000000284,0.05000000000000071,0.08000000000000007,0.0
0.14,global_min_cost,20,24,4,0.4000000000000057,0.10000000000000142,0.1599999999999997,0.0
0.14,global_min_cost,24,32,8,0.5999999999999943,0.07499999999999929,0.26000000000000023,0.0
0.14,greedy,8,10,2,11.599999999999994,5.799999999999997,3.24,0.0
0.14,greedy,10,12,2,6.0,3.0,1.62,0.0
0.14,greedy,12,14,2,1.4000000000000057,0.7000000000000028,0.52,0.0
0.14,greedy,14,16,2,0.3999999999999915,0.19999999999999574,0.18000000000000016,0.0
0.14,greedy,16,20,4,0.20000000000000284,0.05000000000000071,0.040000000000000036,0.0
0.14,greedy,20,24,4,0.4000000000000057,0.10000000000000142,0.1599999999999997,0.0
0.14,greedy,24,32,8,0.7999999999999972,0.09999999999999964,0.3200000000000003,0.0
0.15,global_min_cost,8,10,2,9.600000000000009,4.800000000000004,2.6999999999999993,0.0
0.15,global_min_cost,10,12,2,3.3999999999999915,1.6999999999999957,1.0199999999999996,0.0
0.15,global_min_cost,12,14,2,1.8000000000000114,0.9000000000000057,0.6200000000000001,0.0
0.15,global_min_cost,14,16,2,0.7999999999999972,0.3999999999999986,0.20000000000000018,0.0
0.15,global_min_cost,16,20,4,0.7999999999999972,0.1999999999999993,0.2599999999999998,0.0
0.15,global_min_cost,20,24,4,0.7999999999999972,0.1999999999999993,0.22000000000000064,0.0
0.15,global_min_cost,24,32,8,1.4000000000000057,0.1750000000000007,0.39999999999999947,0.0
0.15,greedy,8,10,2,9.600000000000009,4.800000000000004,3.0999999999999996,0.0
0.15,greedy,10,12,2,3.3999999999999915,1.6999999999999957,0.8399999999999999,0.0
0.15,greedy,12,14,2,1.8000000000000114,0.9000000000000057,0.4399999999999995,0.0
0.15,greedy,14,16,2,0.5999999999999943,0.29999999999999716,0.1200000000000001,0.0
0.15,greedy,16,20,4,0.7999999999999972,0.1999999999999993,0.2999999999999998,0.0
